Date,Comment_ID,Parent_ID,Content,Status,Reaction_Count,Reply_Count,Permalink,Post_URL
2026-06-07 01:51:55,1444898224349187_989121953524813,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=989121953524813,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:51:57,1444898224349187_2150362632478466,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2150362632478466,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:52:01,1444898224349187_1037938448587267,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1037938448587267,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:52:04,1444898224349187_1025959726540585,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1025959726540585,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:52:07,1444898224349187_1656611192239558,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1656611192239558,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:52:09,1444898224349187_853306030704573,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=853306030704573,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:03,1444898224349187_1560138302414621,1444898224349187_5340399749517901,Nhật Hạ Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1560138302414621,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:05,1444898224349187_2596953994034520,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2596953994034520,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:09,1444898224349187_1805042300879191,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1805042300879191,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:53:12,1444898224349187_2385566108591196,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2385566108591196,https://www.facebook.com/408308732570405/posts/1444898224349187
