Date,Comment_ID,Author_ID,Author_Name,Content,Status,Reaction_Count,Reply_Count,Post_URL
2026-06-06 13:31:15,1444898224349187_1527341948905700,,,Đáp án B : Dinh dưỡng Smm: 65 Trần NgânQuynh Anh Nguyen #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 06:57:13,1444898224349187_4516035408616823,,,Đáp án B - 04 Dương Dí Dỏm Minh Van Tran  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 15:30:39,1444898224349187_4312041572346435,,,14 đáp án B Pham Long Minh Thúy Lê Thủy #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 07:54:25,1444898224349187_4142168835916280,,,Đáp án B - 98 Nhi Truong Quách Kim Ngọc  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 06:27:23,1444898224349187_3337603499774618,,,Đáp án B - 47 Nguyễn Mỹ Thu Nhi Truong  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 04:13:09,1444898224349187_2872752993077789,,,Đáp án B - 29 Nguyễn Cheon Bình An Nhẹ Nhàng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 11:20:47,1444898224349187_2504382313393270,,,Đáp án B - 34 Thị Hường Ba Bé Gấu  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 15:09:09,1444898224349187_2427049391544964,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 13:28:04,1444898224349187_2359555304537067,,,95 đáp án B Lai Kathy Ngô Cường Huy Gia #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 13:01:06,1444898224349187_2112982345914886,,,18 đáp án B Thuan Lo VI Lượng Nguyen Phuong #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 04:43:06,1444898224349187_2079278686351025,,,Đáp án B - 31 Vy Vui Vẻ Xuân Quỳnh Vũ  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 15:20:36,1444898224349187_2067854077449582,,,83 đáp án B Thị Tô My Pham Đạt Báo #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 13:07:15,1444898224349187_2062420311030553,,,74 đáp án B Tran Tuan Lai Tho Nguyen Trần Hữu Thiện #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 04:42:53,1444898224349187_2034037150654074,,,Đáp án B - 34 Minh Van Tran Phạm Minh Chín Mốt  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 06:56:59,1444898224349187_1976222073099188,,,Đáp án B - 09 Bình An Nhẹ Nhàng Quách Kim Ngọc  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 04:42:40,1444898224349187_1769089500729924,,,Đáp án B - 39 Ng Duân Candy Truc Thanh Tran  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 14:59:26,1444898224349187_1757043185412768,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 14:49:26,1444898224349187_1736694104132239,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 04:12:40,1444898224349187_1722024962173503,,,Đáp án B - 47 Quách Kim Ngọc Thị Hường  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 06:57:27,1444898224349187_1705116203843229,,,Đáp án B - 07 Jenny Hương Nhi Nhí Nhảnh  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 15:39:18,1444898224349187_1672350577375843,,,26 đáp án B Hoàng Huệ Nguễn Dũng Nguyễn Thị Huệ #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 14:53:13,1444898224349187_1668825630824189,,,.          #Prudential   gửi gắm yêu thương 🌹,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
