id,message,created_time,like_count,comment_count
1444898224349187_1577480480411382,Đáp án B - 21 Hà Văn Tiên Minh Thiện Anh Kiet  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:25:58+0000,0,6382
1444898224349187_971471619093334,Đáp án đúng: B - 70 Hoa Nở Không Màu Ngân Hoàng Phan Minh Triết  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T15:07:00+0000,0,0
1444898224349187_2473312523184694,đáp án B số may mắn 79 Huy Huy Huy Nguyễn Hi Va selie༉ˊˎ丨༊ #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T14:33:50+0000,1,1517
1444898224349187_1258439122845727,đáp án B số may mắn 22 Văn Dương Duyệt Du Chỉ #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T13:34:02+0000,0,272
1444898224349187_1527341948905700,Đáp án B : Dinh dưỡng Smm: 65 Trần NgânQuynh Anh Nguyen #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-06T13:31:15+0000,0,0
1444898224349187_4516035408616823,Đáp án B - 04 Dương Dí Dỏm Minh Van Tran  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T06:57:13+0000,0,0
1444898224349187_4312041572346435,14 đáp án B Pham Long Minh Thúy Lê Thủy #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-08T15:30:39+0000,0,0
1444898224349187_4142168835916280,Đáp án B - 98 Nhi Truong Quách Kim Ngọc  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T07:54:25+0000,0,0
1444898224349187_3337603499774618,Đáp án B - 47 Nguyễn Mỹ Thu Nhi Truong  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-08T06:27:23+0000,0,0
1444898224349187_2872752993077789,Đáp án B - 29 Nguyễn Cheon Bình An Nhẹ Nhàng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T04:13:09+0000,0,0
1444898224349187_2504382313393270,Đáp án B - 34 Thị Hường Ba Bé Gấu  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T11:20:47+0000,0,0
1444898224349187_2427049391544964,.          #Prudential   gửi gắm yêu thương 🌹,2026-06-15T15:09:09+0000,0,0
1444898224349187_2359555304537067,95 đáp án B Lai Kathy Ngô Cường Huy Gia #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-07T13:28:04+0000,0,0
1444898224349187_2112982345914886,18 đáp án B Thuan Lo VI Lượng Nguyen Phuong #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-07T13:01:06+0000,0,0
